height_m,Delta_SCM_m2,Delta_closure_m2,Delta_geom_m2,tau_dz_m2
120.0,3.576237552493539,0.19782995539571674,1.3570905176407455,2.0213170794570763
121.0,6.822995818890749,0.5636044004170835,3.551124348446705,2.7082670700269604
122.0,12.95323888179478,2.0835919817037536,7.4744298394941815,3.395217060596845
123.0,15.119081285828349,-2.4979996735492085,13.534913908210827,4.08216705116673
124.0,11.464649910156728,-15.445967389377573,22.141500257797688,4.769117041736614
125.0,32.425091214933126,-26.736939393802103,35.59796544280249,23.56406516593274
126.0,44.69122874703937,-61.45328184554798,63.78549730245848,42.359013290128864
127.0,20.839700881209097,-158.79922008713282,118.48495955401692,61.153961414324996
128.0,-966.9114208862169,-377.12437417493294,128.05722157353154,-717.8442682848155
129.0,-66.16754625768567,-334.64999757463926,-116.09050933364836,384.57296065060194
130.0,288.77689917572366,-22.532316439475345,-219.017562980884,530.326778596083
131.0,-293.67284924754625,23.329828148371465,-84.29784225331055,-232.70483514260715
132.0,-119.80027755399323,0.2489906157419336,-4.41130923254999,-115.63795893718518
133.0,-10.454825753009963,-2.0288619862304818,-9.854881035016305,1.4289172682368239
134.0,-750.6250307979095,-1.0808009805851222,-750.8053003589731,1.261070541648687
135.0,-1238.6474410905944,-0.46352981663759046,-1239.2771350890173,1.09322381506055
136.0,-2030.9128947247655,-0.05326442455751165,-2031.7850073886805,0.9253770884724131
137.0,-3295.7534509249144,0.19705640311060996,-3296.7080376899094,0.7575303618842761
138.0,-5278.87671512053,0.3101870512908657,-5279.776585807117,0.5896836352961392
139.0,-8331.274664483859,0.30907922311341984,-8332.005580615682,0.4218369087080024
140.0,-12944.53079792782,0.22390231225411295,-12945.008690422195,0.2539901821198654
141.0,-19794.783574081077,0.08992801416050064,-19794.959645550767,0.08614345553172847
142.0,-29796.712620647428,-0.0574529399751782,-29796.5734644364,-0.08170327105640846
143.0,-43586.74779143646,-0.18639416605938808,-43586.31184727276,-0.24954999764454538
144.0,-53993.742781048175,-0.2688294897441509,-53993.0565548342,-0.4173967242326823
145.0,-40693.48109219535,-0.2772537752882582,-40692.61859496924,-0.5852434508208192
146.0,-12045.498580026491,-0.18010133046755863,-12044.565388518613,-0.7530901774089561
147.0,-1193.9311505906278,0.060145379207172604,-1193.070359065838,-0.920936903997093
148.0,-278.4468068406305,0.4799038502824785,-277.83792706032773,-1.08878363058523
149.0,-425.42076851551093,1.090203515058451,-425.254341673396,-1.2566303571733668
150.0,-14866.628259685198,1.8247884656590385,-14867.028571067096,-1.4244770837615037
