timestamp,height,C_M,Ri_g,z_llj,h_inv
0.5000,52.08,0.999661,-0.001536,44.1667,15.8333
0.5000,52.48,0.999627,-0.001548,44.1667,15.8333
0.5000,52.87,0.999586,-0.001559,44.1667,15.8333
0.5000,53.27,0.999539,-0.001571,44.1667,15.8333
0.5000,53.66,0.999482,-0.001583,44.1667,15.8333
0.5000,54.06,0.999415,-0.001594,44.1667,15.8333
0.5000,54.46,0.999333,-0.001606,44.1667,15.8333
0.5000,54.85,0.999232,-0.001618,44.1667,15.8333
0.5000,55.25,0.999106,-0.001629,44.1667,15.8333
0.5000,55.64,0.998946,-0.001641,44.1667,15.8333
0.5000,56.04,0.998738,-0.001653,44.1667,15.8333
0.5000,56.44,0.998462,-0.001664,44.1667,15.8333
0.5000,56.83,0.998082,-0.001676,44.1667,15.8333
0.5000,57.23,0.997541,-0.001688,44.1667,15.8333
0.5000,57.62,0.996732,-0.001699,44.1667,15.8333
0.5000,58.02,0.995441,-0.001711,44.1667,15.8333
0.5000,58.42,0.993192,-0.001723,44.1667,15.8333
0.5000,58.81,0.988730,-0.001734,44.1667,15.8333
0.5000,59.21,0.977759,-0.001746,44.1667,15.8333
0.5000,59.60,0.936253,-0.001758,44.1667,15.8333
0.5000,60.00,0.000000,-0.001769,44.1667,15.8333
1.0000,1.00,0.499988,0.023564,43.3333,16.6667
1.0000,1.40,0.499907,0.032893,43.3333,16.6667
1.0000,1.79,0.499886,0.042210,43.3333,16.6667
1.0000,2.19,0.499813,0.051489,43.3333,16.6667
1.0000,2.58,0.499790,0.060729,43.3333,16.6667
1.0000,2.98,0.499796,0.069931,43.3333,16.6667
1.0000,3.38,0.499867,0.079098,43.3333,16.6667
1.0000,3.77,0.499974,0.088231,43.3333,16.6667
1.0000,4.17,0.500085,0.097331,43.3333,16.6667
1.0000,4.56,0.505660,0.106399,43.3333,16.6667
1.0000,4.96,0.500010,0.115437,43.3333,16.6667
1.0000,5.36,0.502150,0.026932,43.3333,16.6667
1.0000,5.75,0.509798,0.028905,43.3333,16.6667
1.0000,6.15,0.654628,0.030877,43.3333,16.6667
1.0000,6.54,0.566046,0.032846,43.3333,16.6667
1.0000,6.94,0.593147,0.034815,43.3333,16.6667
1.0000,7.34,0.596056,0.036781,43.3333,16.6667
1.0000,7.73,0.607667,0.038746,43.3333,16.6667
1.0000,8.13,0.608492,0.040710,43.3333,16.6667
1.0000,8.52,0.644577,0.042672,43.3333,16.6667
1.0000,8.92,0.572740,0.044633,43.3333,16.6667
1.0000,9.32,0.760208,0.046592,43.3333,16.6667
1.0000,9.71,0.501924,0.048551,43.3333,16.6667
1.0000,10.11,0.649652,0.024867,43.3333,16.6667
1.0000,10.50,0.698843,0.025835,43.3333,16.6667
1.0000,10.90,0.902661,0.026803,43.3333,16.6667
1.0000,11.30,0.847122,0.027771,43.3333,16.6667
1.0000,11.69,0.867479,0.028739,43.3333,16.6667
1.0000,12.09,0.867334,0.029706,43.3333,16.6667
1.0000,12.48,0.872069,0.030674,43.3333,16.6667
1.0000,12.88,0.875084,0.031641,43.3333,16.6667
1.0000,13.28,0.878185,0.032608,43.3333,16.6667
1.0000,13.67,0.880958,0.033575,43.3333,16.6667
1.0000,14.07,0.883563,0.034542,43.3333,16.6667
1.0000,14.46,0.886000,0.035508,43.3333,16.6667
1.0000,14.86,0.888305,0.036475,43.3333,16.6667
1.0000,15.26,0.890504,0.037441,43.3333,16.6667
1.0000,15.65,0.892603,0.038408,43.3333,16.6667
1.0000,16.05,0.894672,0.039374,43.3333,16.6667
1.0000,16.44,0.896538,0.040340,43.3333,16.6667
1.0000,16.84,0.898904,0.041306,43.3333,16.6667
1.0000,17.23,0.899238,0.042272,43.3333,16.6667
1.0000,17.63,0.906891,0.043238,43.3333,16.6667
1.0000,18.03,0.887337,0.044203,43.3333,16.6667
1.0000,18.42,0.961818,0.045169,43.3333,16.6667
1.0000,18.82,0.706749,0.046135,43.3333,16.6667
1.0000,19.21,0.587229,0.047100,43.3333,16.6667
1.0000,19.61,0.501583,0.048065,43.3333,16.6667
1.0000,20.01,0.583909,0.005956,43.3333,16.6667
1.0000,20.40,0.862953,0.006074,43.3333,16.6667
1.0000,20.80,0.990104,0.006192,43.3333,16.6667
1.0000,21.19,0.997493,0.006309,43.3333,16.6667
1.0000,21.59,0.999336,0.006427,43.3333,16.6667
1.0000,21.99,0.999124,0.006545,43.3333,16.6667
1.0000,22.38,0.999206,0.006662,43.3333,16.6667
1.0000,22.78,0.999188,0.006780,43.3333,16.6667
1.0000,23.17,0.999192,0.006898,43.3333,16.6667
1.0000,23.57,0.999186,0.007015,43.3333,16.6667
1.0000,23.97,0.999179,0.007133,43.3333,16.6667
1.0000,24.36,0.999168,0.007251,43.3333,16.6667
1.0000,24.76,0.999155,0.007368,43.3333,16.6667
1.0000,25.15,0.999139,0.007486,43.3333,16.6667
1.0000,25.55,0.999120,0.007604,43.3333,16.6667
1.0000,25.95,0.999098,0.007721,43.3333,16.6667
1.0000,26.34,0.999072,0.007839,43.3333,16.6667
1.0000,26.74,0.999041,0.007957,43.3333,16.6667
1.0000,27.13,0.999012,0.008075,43.3333,16.6667
1.0000,27.53,0.998956,0.008192,43.3333,16.6667
1.0000,27.93,0.998978,0.008310,43.3333,16.6667
1.0000,28.32,0.998649,0.008428,43.3333,16.6667
1.0000,28.72,0.999328,0.008545,43.3333,16.6667
1.0000,29.11,0.991242,0.008663,43.3333,16.6667
1.0000,29.51,0.952744,0.008781,43.3333,16.6667
1.0000,29.91,0.569877,0.008898,43.3333,16.6667
1.0000,30.30,0.942052,0.002234,43.3333,16.6667
1.0000,30.70,0.994622,0.002264,43.3333,16.6667
1.0000,31.09,0.998893,0.002293,43.3333,16.6667
1.0000,31.49,0.999158,0.002322,43.3333,16.6667
1.0000,31.89,0.999159,0.002351,43.3333,16.6667
1.0000,32.28,0.999098,0.002380,43.3333,16.6667
1.0000,32.68,0.999036,0.002409,43.3333,16.6667
1.0000,33.07,0.998953,0.002439,43.3333,16.6667
1.0000,33.47,0.998850,0.002468,43.3333,16.6667
1.0000,33.87,0.998719,0.002497,43.3333,16.6667
1.0000,34.26,0.998548,0.002526,43.3333,16.6667
1.0000,34.66,0.998319,0.002555,43.3333,16.6667
1.0000,35.05,0.998000,0.002585,43.3333,16.6667
1.0000,35.45,0.997528,0.002614,43.3333,16.6667
1.0000,35.85,0.996774,0.002643,43.3333,16.6667
1.0000,36.24,0.995358,0.002672,43.3333,16.6667
1.0000,36.64,0.992017,0.002701,43.3333,16.6667
1.0000,37.03,0.969497,0.002730,43.3333,16.6667
1.0000,37.43,0.984320,0.002760,43.3333,16.6667
1.0000,37.83,0.985992,0.002789,43.3333,16.6667
1.0000,38.22,0.985963,0.002818,43.3333,16.6667
1.0000,38.62,0.765438,0.002847,43.3333,16.6667
1.0000,39.01,0.340801,0.002876,43.3333,16.6667
1.0000,39.41,0.489642,0.002906,43.3333,16.6667
1.0000,39.81,0.499746,0.002935,43.3333,16.6667
1.0000,40.20,0.493525,0.096809,43.3333,16.6667
1.0000,40.60,0.087431,0.097762,43.3333,16.6667
1.0000,40.99,0.292617,0.098715,43.3333,16.6667
1.0000,41.39,0.870992,0.099667,43.3333,16.6667
1.0000,41.79,0.784082,0.100620,43.3333,16.6667
1.0000,42.18,0.821752,0.101572,43.3333,16.6667
1.0000,42.58,0.822723,0.102525,43.3333,16.6667
1.0000,42.97,0.830711,0.103477,43.3333,16.6667
1.0000,43.37,0.835125,0.104429,43.3333,16.6667
1.0000,43.77,0.838996,0.105382,43.3333,16.6667
1.0000,44.16,0.841745,0.106334,43.3333,16.6667
1.0000,44.56,0.843672,0.107286,43.3333,16.6667
1.0000,44.95,0.844793,0.108237,43.3333,16.6667
1.0000,45.35,0.845180,0.109189,43.3333,16.6667
1.0000,45.74,0.844784,0.110141,43.3333,16.6667
1.0000,46.14,0.843840,0.111093,43.3333,16.6667
1.0000,46.54,0.841413,0.112044,43.3333,16.6667
1.0000,46.93,0.840880,0.112996,43.3333,16.6667
1.0000,47.33,0.828999,0.113947,43.3333,16.6667
1.0000,47.72,0.855157,0.114899,43.3333,16.6667
1.0000,48.12,0.714244,0.115850,43.3333,16.6667
1.0000,48.52,0.999069,0.116801,43.3333,16.6667
1.0000,48.91,0.439193,0.117752,43.3333,16.6667
1.0000,49.31,0.493301,0.118703,43.3333,16.6667
1.0000,49.70,0.499888,0.119654,43.3333,16.6667
1.0000,50.10,0.999299,-0.001133,43.3333,16.6667
1.0000,50.50,0.999240,-0.001142,43.3333,16.6667
1.0000,50.89,0.999173,-0.001151,43.3333,16.6667
1.0000,51.29,0.999096,-0.001160,43.3333,16.6667
1.0000,51.68,0.999009,-0.001169,43.3333,16.6667
1.0000,52.08,0.998909,-0.001178,43.3333,16.6667
1.0000,52.48,0.998792,-0.001187,43.3333,16.6667
1.0000,52.87,0.998656,-0.001196,43.3333,16.6667
1.0000,53.27,0.998496,-0.001205,43.3333,16.6667
1.0000,53.66,0.998306,-0.001214,43.3333,16.6667
1.0000,54.06,0.998078,-0.001223,43.3333,16.6667
1.0000,54.46,0.997801,-0.001232,43.3333,16.6667
1.0000,54.85,0.997460,-0.001241,43.3333,16.6667
1.0000,55.25,0.997034,-0.001250,43.3333,16.6667
1.0000,55.64,0.996491,-0.001259,43.3333,16.6667
1.0000,56.04,0.995786,-0.001268,43.3333,16.6667
1.0000,56.44,0.994847,-0.001277,43.3333,16.6667
1.0000,56.83,0.993558,-0.001286,43.3333,16.6667
1.0000,57.23,0.991720,-0.001295,43.3333,16.6667
1.0000,57.62,0.988974,-0.001303,43.3333,16.6667
1.0000,58.02,0.984609,-0.001312,43.3333,16.6667
1.0000,58.42,0.977057,-0.001321,43.3333,16.6667
1.0000,58.81,0.962284,-0.001330,43.3333,16.6667
1.0000,59.21,0.927210,-0.001339,43.3333,16.6667
1.0000,59.60,0.809152,-0.001348,43.3333,16.6667
1.0000,60.00,0.000000,-0.001357,43.3333,16.6667
1.5000,1.00,0.499991,0.016981,42.5000,17.5000
1.5000,1.40,0.499398,0.023705,42.5000,17.5000
1.5000,1.79,0.499624,0.030421,42.5000,17.5000
1.5000,2.19,0.499116,0.037112,42.5000,17.5000
1.5000,2.58,0.498805,0.043778,42.5000,17.5000
1.5000,2.98,0.498373,0.050419,42.5000,17.5000
1.5000,3.38,0.498107,0.057038,42.5000,17.5000
1.5000,3.77,0.497452,0.063635,42.5000,17.5000
1.5000,4.17,0.498377,0.070211,42.5000,17.5000
1.5000,4.56,0.353006,0.076767,42.5000,17.5000
1.5000,4.96,0.499902,0.083305,42.5000,17.5000
1.5000,5.36,0.470417,0.042218,42.5000,17.5000
1.5000,5.75,0.492909,0.045314,42.5000,17.5000
1.5000,6.15,0.479837,0.048407,42.5000,17.5000
1.5000,6.54,0.485934,0.051498,42.5000,17.5000
1.5000,6.94,0.484961,0.054586,42.5000,17.5000
1.5000,7.34,0.485853,0.057672,42.5000,17.5000
1.5000,7.73,0.486134,0.060756,42.5000,17.5000
1.5000,8.13,0.488066,0.063838,42.5000,17.5000
1.5000,8.52,0.485271,0.066918,42.5000,17.5000
1.5000,8.92,0.495162,0.069995,42.5000,17.5000
1.5000,9.32,0.476405,0.073071,42.5000,17.5000
1.5000,9.71,0.499945,0.076144,42.5000,17.5000
1.5000,10.11,0.496496,0.038102,42.5000,17.5000
1.5000,10.50,0.498841,0.039586,42.5000,17.5000
