time_hrs,z_m,theta_smooth_K,U_smooth_m_s,Ri_g,zeta_BD,zeta_G07,C_const_G07,C_coord_G07,fold_ratio,kappa_G07,is_jet_nose
892799.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
907200.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
907200.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
921600.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
921600.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
935999.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
935999.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
950400.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
950400.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
964800.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
964800.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
979199.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
979199.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
993600.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
993600.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1008000.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1008000.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1022399.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1022399.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1036800.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1036800.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1051200.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1051200.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1065599.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1065599.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1080000.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1080000.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1094400.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1094400.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1108799.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1108799.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1123200.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1123200.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
